sensor_parameter
co_concentration
h2s_concentration
no2_concentration
o3_concentration
oxidizing_gases_concentration
reducing_gases_concentration
so2_concentration
opc_n2_bins
pms7003_10um_particle
pms7003_1um_particle
pms7003_2_5um_particle
pms7003_5um_particle
pms7003_point_3um_particle
pms7003_point_5um_particle
opc_n2_pm1
pms7003_pm1_atm
opc_n2_pm10
pms7003_pm10_atm
opc_n2_pm2_5
pms7003_pm25_atm
hih4030_humidity
htu21d_humidity
bmp180_pressure
bmp180_temperature
htu21d_temperature
pr103j2_temperature
tmp112_temperature
tsys01_temperature
microphone_octave_1_intensity
microphone_octave_10_intensity
microphone_octave_2_intensity
microphone_octave_3_intensity
microphone_octave_4_intensity
microphone_octave_5_intensity
microphone_octave_6_intensity
microphone_octave_7_intensity
microphone_octave_8_intensity
microphone_octave_9_intensity
microphone_octave_total_intensity
tsl260rd_intensity
apds_9006_020_intensity
mlx75305_intensity
tsl250rd_intensity
hmc5883l_magnetic_field_x
hmc5883l_magnetic_field_y
hmc5883l_magnetic_field_z
spv1840lr5h_b_intensity
ml8511_intensity
mma8452q_acceleration_x
mma8452q_acceleration_y
mma8452q_acceleration_z
loadavg_load_1
loadavg_load_10
loadavg_load_5
mem_free
mem_total
uptime_idletime
uptime_uptime
hih6130_humidity
si1145_ir_intensity
si1145_visible_light_intensity
hih6130_temperature
htu21d_humidity
htu21d_temperature
temperatures_battery
temperatures_brainplate
temperatures_ep_heatsink
temperatures_nc_heatsink
temperatures_powersupply
tmp421_temperature
si1145_uv_intensity
loadavg_load_1
loadavg_load_10
loadavg_load_5
mem_free
mem_total
net_broadband_rx
net_broadband_tx
net_lan_rx
net_lan_tx
net_usb_rx
net_usb_tx
uptime_idletime
uptime_uptime
opc_n2_sample_flow_rate
lps25h_pressure
sht25_humidity
chemsense_id
metsense_id
opc_n2_fw
tsl250rd_intensity
lps25h_temperature
opc_n2_sampling_period
at0_temperature
at1_temperature
at2_temperature
at3_temperature
sht25_temperature
current_cs
current_ep
current_nc
current_wagman
failures_cs
failures_ep
failures_nc
heartbeat_cs
heartbeat_ep
heartbeat_nc
enabled_cs
enabled_ep
enabled_nc
uptime_uptime
