node_id,lat,lon
001e0610ba46,41.878377,-87.627678
001e0610ba3b,41.858136,-87.616055
001e0610ba8f,41.810342,-87.590228
001e0610ba16,41.891964,-87.611603
001e0610ba8b,41.7806,-87.586456
001e0610ba18,41.852179,-87.675825
001e0610bc10,41.736314,-87.624179
001e0610bbf9,41.768319,-87.683396
001e0610bbff,41.857797,-87.685806
001e0610ba15,41.722457,-87.57535
001e0610bbe5,41.736495,-87.614529
001e0610ee33,41.965089,-87.679076
001e0610b9e5,41.994597,-87.655523
001e0610f8f4,41.832579,-87.646133
001e0610ee41,41.882304,-87.671773
001e0610eef4,41.912681,-87.681052
001e0610ef29,41.743814,-87.614732
001e0610f668,41.831827,-87.675311
001e0610f730,41.94672,-87.69068
001e0610bc07,41.878372,-87.706042
001e0610ef26,41.88431,-87.647431
001e0610ea5a,41.914202,-87.683048
001e0610ee61,41.880732,-87.72566
001e0610ba81,41.741148,-87.54045
001e0610ba57,41.881172,-87.686359
001e0610ee82,41.921405,-87.677766
001e0610ef27,41.846579,-87.685557
001e0610fb4c,41.913583,-87.682414
001e0610ee6f,41.846897,-87.673061
001e0610ef68,41.857775,-87.666144
001e0610e809,41.903335,-87.6674
001e0610ee36,41.751295,-87.605288
001e061135cb,41.779369,-87.664421
001e0610e532,41.857959,-87.656427
001e0610ee5d,41.923996,-87.761072
001e0610ef73,41.718008,-87.982901
001e0610e540,41.838618,-87.607817
001e0610f6dd,41.895355,-87.726064
001e06113ad8,41.866786,-87.666306
001e0611441e,41.808594,-87.665048
001e06113d83,41.910922,-87.649518
001e06112e77,41.786756,-87.664343
001e0610f6db,41.791329,-87.598677
001e06115365,41.788430,-87.599130
001e06113cff,41.751142,-87.71299
001e0611537d,41.794167,-87.601646
001e06113107,41.751142,-87.71299
001e06114fd4,41.794477,-87.615957
001e06113ad6,41.906481,-87.671373
001e06109f62,41.954825,-87.645248
001e06113ace,41.83107,-87.617298
001e061146bc,41.918733,-87.668257
001e061146cb,41.926170,-87.631533
001e0610e539,41.880497,-87.745268
001e0610f703,41.87148,-87.67644
001e0610b9e9,41.96904,-87.659672
001e0611462f,41.823527,-87.641054
001e06115369,41.946373,-87.727382
001e0610bc12,41.75034,-87.663518
001e0610e835,41.968757,-87.679174
001e0610e538,41.736593,-87.604759
001e0610eef2,41.965256,-87.66672
001e061130f4,41.896157,-87.662391
001e0610ee43,41.788608,-87.598713
001e0610f05c,41.924903,-87.687703
001e0610f732,41.895005,-87.745817
001e06113100,41.692769,-87.609852
001e0610e537,41.961622,-87.665948
001e0610f513,41.939121,-87.723801
001e06109416,41.916586,-87.666406
001e061146d6,41.903632,-87.648093
001e06113d22,41.800846,-87.703739
001e06114503,41.666078,-87.539374
001e06113dbc,41.713867,-87.536509
001e061144c0,41.764122,-87.72242
001e06114fcf,41.954825,-87.645248
001e06115382,41.88076,-87.62775
001e06113cf1,41.884688,-87.627864
001e06113acb,41.839066,-87.665685
001e06113f54,41.884607,-87.624577
001e06114500,41.714494,-87.643099
001e06113d32,41.947066,-87.688326
001e061146ba,41.96759,-87.76257
001e06113a48,41.943263,-87.688069
001e06113ba6,41.883541,-87.666748
001e06115379,41.88326,-87.63387
001e06114fd6,41.88449,-87.636955
001e0611536c,41.88575,-87.62969
001e06114fd9,41.926170,-87.631533
001e061144be,41.792543,-87.600008
001e0610ba13,41.751238,-87.712990
